# QC Report for S3
# Generated by step3_normalization.py

## Summary Statistics
study_id: S3
n_samples: 289
n_samples_AD: 219
n_samples_Control: 70
n_genes_total: 30727
n_genes_variable: 29549
total_raw_counts: 153952928
mean_counts_per_sample: 532709.10
median_counts_per_sample: 468937.90
mean_detected_genes_per_sample: 22704.31
mean_zero_percent: 26.11

## Sample-level QC Metrics
sample_id	total_counts	mean_expression	median_expression	std_expression	min_expression	max_expression	zero_count	zero_percent	detected_genes
GSM3577675	736337.1932254923	23.963849162804447	0.823989792099621	723.0254485331337	0.0	50678.6977237121	8594	27.968887297816252	22133
GSM3577676	656377.4771971102	21.361586786770925	0.77061533948471	575.5978551728651	0.0	59436.6575652076	8153	26.533667458586912	22574
GSM3577677	1017299.4531248257	33.10767250707279	0.74636678956723	1120.6984401912462	0.0	93569.219379833	9144	29.758844013408403	21583
GSM3577678	498421.6620796285	16.220967295200587	0.604336564503013	260.05973146464703	0.0	22004.1185818058	7732	25.16353695447001	22995
GSM3577679	1451930.4816885614	47.25259484129793	0.70683240528881	1723.4737451867281	0.0	135093.328114832	9759	31.760341068115988	20968
GSM3577680	450453.8081246691	14.65986943485108	0.759318580972543	259.1275555627396	0.0	18753.5946890758	7696	25.046376151267612	23031
GSM3577681	438935.3493474994	14.285005023188056	0.833829824357191	264.14844090400663	0.0	20984.7635465671	7686	25.013831483711396	23041
GSM3577682	433504.3740976564	14.108255739175853	0.827027337341311	282.3042134596219	0.0	25514.8413820555	7792	25.358804959807337	22935
GSM3577683	444055.36755108193	14.45163431350545	0.779690630228854	276.7664071831267	0.0	19474.1916407857	7982	25.977153643375534	22745
GSM3577684	501671.82203471893	16.32674267044355	0.7322931454726	319.6029544918039	0.0	23895.2769554336	8887	28.922446057213524	21840
GSM3577685	304499.18242917315	9.909824663298505	0.899862067033021	99.64888876350452	0.0	8096.50435699661	7423	24.157906726982784	23304
GSM3577686	365338.7509532332	11.88982819517796	0.826354518823123	135.0596197828767	0.0	10618.597595578	7317	23.812933250886843	23410
GSM3577687	380594.15230332216	12.386310160553329	0.871523936886843	214.99739512072955	0.0	14432.4109612682	7684	25.00732255020015	23043
GSM3577688	489818.29578814143	15.940973599379745	0.839408143181895	354.9415738352608	0.0	25092.9866375959	7707	25.082175285579456	23020
GSM3577689	530980.633002091	17.280588179844795	0.897005937430022	435.5183400221108	0.0	42723.2396698924	9799	31.89051973834087	20928
GSM3577690	423815.1343228158	13.792922651831152	0.882693110717653	258.0628952538891	0.0	21348.9924499969	7590	24.701402675171675	23137
GSM3577691	362610.9126517718	11.801051604509773	0.811755132790881	139.09661132388536	0.0	12512.0710891296	7420	24.148143326715918	23307
GSM3577692	303294.1036825297	9.870605776109926	0.857132585338326	110.56200436727269	0.0	7676.6002418802	7320	23.822696651153706	23407
GSM3577693	1208906.1364688312	39.34344831805355	0.745378806445995	1398.179403109119	0.0	113640.213895338	9427	30.67985810524945	21300
GSM3577694	733879.4034106515	23.883861210357388	0.716751184433434	666.5707264411479	0.0	60654.0978709384	8912	29.003807726104082	21815
GSM3577695	1759306.7605437378	57.2560536513079	0.626082604186547	2112.7472393121084	0.0	149341.121909758	10627	34.585218211995965	20100
GSM3577696	867315.952969771	28.22650935560813	0.705803002898112	833.2957761886258	0.0	72228.1889097042	8143	26.50112279103069	22584
GSM3577697	438474.3996895442	14.27000356980975	0.798238449530115	305.36402228171613	0.0	24403.9005835806	6954	22.631561818596026	23773
GSM3577698	291074.7408613161	9.472930675344683	0.988488791057847	92.53545416615903	0.0	6974.84034045436	6744	21.948123799915383	23983
GSM3577699	361520.1987699812	11.765554683827943	0.925632893712388	190.115198812136	0.0	16540.7594414784	7378	24.01145572297979	23349
GSM3577700	388091.35326553485	12.630304073470722	0.734878999367972	130.66639270612066	0.0	10563.6981467821	7853	25.557327431900283	22874
